Class,Accuracy (%)
airplane,99.0
airport,93.0
baseball_diamond,99.0
basketball_court,97.0
beach,100.0
bridge,97.0
chaparral,99.0
church,84.0
circular_farmland,100.0
cloud,99.0
commercial_area,95.0
dense_residential,96.0
desert,96.0
forest,99.0
freeway,97.0
golf_course,97.0
ground_track_field,98.0
harbor,99.0
industrial_area,93.0
intersection,98.0
island,96.0
lake,95.0
meadow,95.0
medium_residential,93.0
mobile_home_park,99.0
mountain,95.0
overpass,96.0
palace,84.0
parking_lot,99.0
railway,99.0
railway_station,91.0
rectangular_farmland,92.0
river,96.0
roundabout,99.0
runway,94.0
sea_ice,98.0
ship,99.0
snowberg,100.0
sparse_residential,98.0
stadium,96.0
storage_tank,99.0
tennis_court,100.0
terrace,94.0
thermal_power_station,100.0
wetland,98.0
